
 l_orderkey  o_orderdate  o_shippriority 

        386  1995-01-25                0 
        386  1995-01-25                0 
        386  1995-01-25                0 
        450  1995-03-05                0 
        450  1995-03-05                0 
        450  1995-03-05                0 
        450  1995-03-05                0 
        450  1995-03-05                0 
        577  1994-12-19                0 
        577  1994-12-19                0 
       1637  1995-02-08                0 
       1637  1995-02-08                0 
       1637  1995-02-08                0 
       1637  1995-02-08                0 
       1637  1995-02-08                0 
       2883  1995-01-23                0 
       3844  1994-12-29                0 
       4227  1995-02-24                0 
       4227  1995-02-24                0 
       4227  1995-02-24                0 
       4227  1995-02-24                0 
       4227  1995-02-24                0 
       4707  1995-02-27                0 
       4707  1995-02-27                0 
       5031  1994-12-02                0 
       5188  1995-03-02                0 
       5188  1995-03-02                0 
       5312  1995-02-24                0 
       5312  1995-02-24                0 
       5347  1995-02-22                0 
       5347  1995-02-22                0 
       5347  1995-02-22                0 
       5347  1995-02-22                0 
       5347  1995-02-22                0 
       5347  1995-02-22                0 
       5636  1995-02-16                0 
       5636  1995-02-16                0 
       5636  1995-02-16                0 
       5636  1995-02-16                0 
       5728  1994-12-11                0 
       5765  1994-12-15                0 
       5765  1994-12-15                0 
       5985  1995-01-12                0 
       6022  1995-02-13                0 
       6022  1995-02-13                0 
       6022  1995-02-13                0 
       6022  1995-02-13                0 
       6403  1995-02-12                0 
       6403  1995-02-12                0 
       6592  1994-12-02                0 
       7527  1994-12-12                0 
       7840  1995-01-09                0 
       7840  1995-01-09                0 
       7840  1995-01-09                0 
       7840  1995-01-09                0 
       9248  1994-12-24                0 
       9248  1994-12-24                0 
       9696  1995-02-20                0 
       9696  1995-02-20                0 
       9696  1995-02-20                0 
       9696  1995-02-20                0 
      10691  1995-03-14                0 
      10691  1995-03-14                0 
      10691  1995-03-14                0 
      10916  1995-03-11                0 
      10916  1995-03-11                0 
      10916  1995-03-11                0 
      10916  1995-03-11                0 
      10916  1995-03-11                0 
      10916  1995-03-11                0 
      10916  1995-03-11                0 
      11073  1994-12-02                0 
      12706  1994-11-21                0 
      12961  1994-12-13                0 
      12961  1994-12-13                0 
      13924  1994-12-20                0 
      15106  1995-01-28                0 
      15106  1995-01-28                0 
      15106  1995-01-28                0 
      15111  1994-12-18                0 
      15138  1995-02-21                0 
      15462  1995-02-27                0 
      15462  1995-02-27                0 
      16322  1994-12-20                0 
      16322  1994-12-20                0 
      17058  1995-01-02                0 
      17058  1995-01-02                0 
      19365  1995-01-17                0 
      19365  1995-01-17                0 
      19365  1995-01-17                0 
      19365  1995-01-17                0 
      19393  1995-01-15                0 
      19780  1995-02-05                0 
      19780  1995-02-05                0 
      19780  1995-02-05                0 
      20453  1995-03-11                0 
      20453  1995-03-11                0 
      20453  1995-03-11                0 
      20453  1995-03-11                0 
      20453  1995-03-11                0 
      20453  1995-03-11                0 
      20641  1995-02-20                0 
