
 ps_partkey  ps_suppkey  l_orderkey  l_linenumber 

       1552          93           1             1 
        674          75           1             2 
        637          38           1             3 
         22          48           1             4 
        241          23           1             5 
        157          10           1             6 
       1062          33           2             1 
         43          19           3             1 
        191          70           3             2 
       1285          60           3             3 
        294          22           3             4 
       1831          61           3             5 
        622          16           3             6 
        881          81           4             1 
       1086          87           5             1 
       1240          41           5             2 
        376           5           5             3 
       1397          36           6             1 
       1821          51           7             1 
       1453          93           7             2 
        948          17           7             3 
       1631          32           7             4 
       1519          40           7             5 
        793          26           7             6 
       1573          54           7             7 
        828          95          32             1 
       1980          25          32             2 
        442          72          32             3 
         28          79          32             4 
        859          93          32             5 
        117          44          32             6 
        614           8          33             1 
        606          69          33             2 
       1375          14          33             3 
        340          41          33             4 
        884          18          34             1 
        895          29          34             2 
       1696          79          34             3 
          5          31          35             1 
       1620          62          35             2 
       1209          21          35             3 
        852          86          35             4 
       1200          73          35             5 
        308          37          35             6 
       1198          99          36             1 
        227          55          37             1 
       1268          43          37             2 
        130          57          37             3 
       1759          44          38             1 
         24         100          39             1 
       1866          96          39             2 
        679          73          39             3 
        206          34          39             4 
        546           7          39             5 
        944          79          39             6 
        860          61          64             1 
        597          58          65             1 
        739           4          65             2 
         14          40          65             3 
       1152          89          66             1 
       1735          36          66             2 
        217          99          67             1 
        202          57          67             2 
       1736          79          67             3 
        876          77          67             4 
        407          95          67             5 
       1784          27          67             6 
         71          97          68             1 
       1752          79          68             2 
        350          79          68             3 
        948          51          68             4 
        828          62          68             5 
       1026          62          68             6 
       1393          32          68             7 
       1153          90          69             1 
       1042          13          69             2 
       1373          88          69             3 
        376          33          69             4 
        921          90          69             5 
        186          13          69             6 
        642           5          70             1 
       1962          51          70             2 
       1799          26          70             3 
        458          17          70             4 
        372          29          70             5 
        557          48          70             6 
        620          21          71             1 
        660          54          71             2 
        345          30          71             3 
        967           2          71             4 
       1033          69          71             5 
       1957          46          71             6 
       1231          43          96             1 
       1354          55          96             2 
       1195          32          97             1 
        496          26          97             2 
        777          74          97             3 
        403           4          98             1 
       1098           4          98             2 
        448          49          98             3 
       1672          73          98             4 
        872          72          99             1 
       1238          39          99             2 
       1341          56          99             3 
       1084          20          99             4 
        621          22         100             1 
       1160          97         100             2 
        462          92         100             3 
        381          38         100             4 
        535          26         100             5 
       1183          92         101             1 
       1634          58         101             2 
       1385         100         101             3 
        890          57         102             1 
       1693          17         102             2 
       1824          68         102             3 
        612           6         102             4 
       1947          80         103             1 
        105          32         103             2 
        285          86         103             3 
        291          46         103             4 
       1069           5         128             1 
         29          55         129             1 
       1852          53         129             2 
        395          24         129             3 
       1352          29         129             4 
        314          99         129             5 
        771          68         129             6 
       1686          69         129             7 
       1289          90         130             1 
         18          44         130             2 
        119          20         130             3 
       1157          66         130             4 
        692          55         130             5 
       1676          18         131             1 
        443           2         131             2 
       1891          35         131             3 
       1405          45         132             1 
       1191          92         132             2 
       1145          46         132             3 
        281          63         132             4 
       1035          71         133             1 
       1763          90         133             2 
       1174          83         133             3 
        899          99         133             4 
          7           8         134             1 
       1647          30         134             2 
       1883          70         134             3 
       1441          42         134             4 
        352          53         134             5 
       1332          71         134             6 
       1083          84         135             1 
       1984          17         135             2 
       1576          97         135             3 
        671           3         135             4 
       1363          40         135             5 
       1150          59         135             6 
        148           1         160             1 
        864          98         160             2 
        201          56         160             3 
       1029          35         161             1 
       1893          80         162             1 
       1676         100         163             1 
       1208           9         163             2 
        369          98         163             3 
       1927          72         163             4 
       1261          99         163             5 
       1909          98         163             6 
        914          49         164             1 
        185          38         164             2 
       1256          68         164             3 
        176           3         164             4 
       1476          55         164             5 
       1089          90         164             6 
         31          57         164             7 
        332          89         165             1 
       1617          41         165             2 
        586          77         165             3 
       1392          69         165             4 
       1551          92         165             5 
        649          12         166             1 
       1664          65         166             2 
        997          32         166             3 
        451          81         166             4 
       1012          13         167             1 
       1716          59         167             2 
        971          40         192             1 
       1614          38         192             2 
       1103          76         192             3 
       1964          97         192             4 
        830          97         192             5 
       1411          51         192             6 
        927          62         193             1 
       1540          61         193             2 
        939          74         193             3 
         26          52         194             1 
       1836          80         194             2 
        660          54         194             3 
       1452          53         194             4 
        562          23         194             5 
       1490          30         194             6 
       1679          21         194             7 
        846          13         195             1 
        939          42         195             2 
        855          89         195             3 
        855          89         195             4 
       1351          28         196             1 
         99          25         196             2 
        985          20         197             1 
       1772          15         197             2 
       1559         100         197             3 
        180          33         197             4 
        415          45         197             5 
       1059          30         197             6 
        561          62         198             1 
        153          80         198             2 
       1481          60         198             3 
        104          31         198             4 
       1020          21         198             5 
       1321          36         199             1 
       1340          41         199             2 
       1502           3         224             1 
       1087          23         224             2 
       1900          30         224             3 
       1664          47         224             4 
        939           8         224             5 
        501          92         224             6 
       1720          21         225             1 
       1306          21         225             2 
       1983          72         225             3 
       1461           1         225             4 
         76          52         225             5 
       1319          34         225             6 
       1413          31         225             7 
        970           5         226             1 
       1379          94         226             2 
        374          59         226             3 
        407          95         226             4 
       1180          89         226             5 
        830          97         226             6 
       1180          89         226             7 
       1654          78         227             1 
       1742          69         227             2 
         41          67         228             1 
        836           3         229             1 
       1290          91         229             2 
        786          87         229             3 
       1770          55         229             4 
       1552          33         229             5 
       1054          90         229             6 
       1859          46         230             1 
       1950          95         230             2 
         74          50         230             3 
         92          18         230             4 
        190          69         230             5 
        340          25         230             6 
       1584          85         231             1 
        834          34         231             2 
       1982          27         231             3 
        568          69         231             4 
        883          17         256             1 
       1184          57         256             2 
       1292          67         256             3 
       1463          64         257             1 
       1062          68         258             1 
       1962          95         258             2 
       1618          19         258             3 
       1330          69         258             4 
        360          89         258             5 
       1465           5         258             6 
        988          89         259             1 
       1620          62         259             2 
        236          37         259             3 
       1954          87         259             4 
       1923          12         259             5 
       1559          60         260             1 
       1828          29         260             2 
        413           1         260             3 
         54           5         260             4 
        953          22         260             5 
         14          65         261             1 
        657          58         261             2 
       1740          25         261             3 
       1185          22         261             4 
        605          99         261             5 
        970           5         261             6 
       1912          13         262             1 
        601          95         262             2 
        587          78         262             3 
        240          68         263             1 
        846          13         263             2 
       1429          47         263             3 
        507          98         288             1 
       1164           1         288             2 
        989          90         288             3 
        785          86         288             4 
       1619           2         288             5 
       1733          60         289             1 
       1118          27         289             2 
        170          23         289             3 
        395          24         289             4 
        463          93         289             5 
         54           5         290             1 
       1290          28         290             2 
         19          45         290             3 
       1238          76         290             4 
       1226          38         291             1 
       1374          75         291             2 
        609          72         291             3 
       1536          37         292             1 
        993          94         292             2 
         90          66         293             1 
       1865          66         293             2 
       1173          82         293             3 
        597          88         294             1 
       1976          21         295             1 
        914          17         295             2 
        153          80         295             3 
        607          39         295             4 
         45          21         320             1 
       1922          67         320             2 
          4          80         321             1 
       1405          84         321             2 
       1525           6         322             1 
        437          38         322             2 
        127           6         322             3 
       1833          77         322             4 
        117          96         322             5 
        334          91         322             6 
        375          60         322             7 
       1637          61         323             1 
        952          87         323             2 
       1428          29         323             3 
       1995          84         324             1 
       1588           9         325             1 
       1852          96         325             2 
        188          15         325             3 
       1791          76         326             1 
        195          22         326             2 
       1838          25         326             3 
        849          16         326             4 
        346           3         326             5 
       1568          89         326             6 
        422          52         326             7 
       1436          54         327             1 
        418          48         327             2 
        638          39         352             1 
       1194          67         353             1 
       1476          77         353             2 
       1344          59         353             3 
        771          36         353             4 
       1169          42         353             5 
       1027          28         353             6 
        495          25         354             1 
       1939          72         354             2 
        582          83         354             3 
       1067          73         354             4 
        306           7         354             5 
        611          43         354             6 
         47          98         354             7 
       1140          13         355             1 
        961          64         355             2 
        453          54         356             1 
       1075          46         356             2 
       1181          18         356             3 
        554          15         356             4 
       1243          55         356             5 
       1132          33         357             1 
       1859           3         357             2 
       1649          32         357             3 
       1901          46         358             1 
       1900          30         358             2 
       1688          71         358             3 
        966          35         358             4 
        287          69         358             5 
       1613          14         358             6 
        830          97         358             7 
       1660          61         359             1 
        112          65         359             2 
       1315          54         359             3 
        900          34         359             4 
       1673          56         359             5 
       1827          57         359             6 
       1785          70         384             1 
        634          66         384             2 
       1816           3         384             3 
        921          90         384             4 
       1315          30         384             5 
       1665           7         385             1 
        531          92         385             2 
       1525          46         386             1 
        682          76         386             2 
       1301           2         386             3 
       1367          44         387             1 
       1528          29         387             2 
        964          33         387             3 
        560          61         387             4 
       1484          24         387             5 
        326          11         388             1 
       1279          80         388             2 
        645           8         388             3 
       1893          37         389             1 
       1066           2         390             1 
       1234          46         390             2 
       1833          20         390             3 
       1420          21         390             4 
       1277          15         390             5 
       1247          22         390             6 
        850          50         390             7 
       1216          91         391             1 
        936          71         416             1 
       1109          18         416             2 
       1742          85         416             3 
        396          97         417             1 
        693          56         417             2 
        442          72         417             3 
       1311          12         417             4 
        186          13         418             1 
         11          37         418             2 
        349          78         418             3 
       1527           8         419             1 
        642           5         419             2 
        705          38         419             3 
         88          64         419             4 
       1485          64         419             5 
       1009          80         420             1 
       1611          35         420             2 
        476          35         420             3 
        748          49         420             4 
        730          95         420             5 
       1238          50         420             6 
        160          61         420             7 
       1331          32         421             1 
       1519          60         422             1 
       1707          50         422             2 
       1760          87         422             3 
       1617          41         422             4 
