
 p_name                                      s_name                     l_orderkey  l_linenumber 

 dark green antique puff wheat               Supplier#000000004              50531             1 
 dark green antique puff wheat               Supplier#000000004              30021             1 
 dark green antique puff wheat               Supplier#000000004              21668             3 
 dark green antique puff wheat               Supplier#000000004              18017             5 
 dark green antique puff wheat               Supplier#000000004              17764             2 
 dark green antique puff wheat               Supplier#000000004               9446             2 
 dark green antique puff wheat               Supplier#000000004               1287             3 
 dark green antique puff wheat               Supplier#000000029              57601             1 
 dark green antique puff wheat               Supplier#000000029              56933             2 
 dark green antique puff wheat               Supplier#000000029              52103             1 
 dark green antique puff wheat               Supplier#000000029              51397             1 
 dark green antique puff wheat               Supplier#000000029              34401             1 
 dark green antique puff wheat               Supplier#000000029               8193             4 
 dark green antique puff wheat               Supplier#000000054              56390             2 
 dark green antique puff wheat               Supplier#000000054              40960             4 
 dark green antique puff wheat               Supplier#000000054              34755             1 
 dark green antique puff wheat               Supplier#000000054              32932             4 
 dark green antique puff wheat               Supplier#000000054              31680             1 
 dark green antique puff wheat               Supplier#000000054               1122             7 
 dark green antique puff wheat               Supplier#000000079              50375             1 
 dark green antique puff wheat               Supplier#000000079              46339             3 
 dark green antique puff wheat               Supplier#000000079              10048             2 
 dark green antique puff wheat               Supplier#000000079               9413             4 
 green honeydew dim cyan bisque              Supplier#000000029              52448             1 
 green honeydew dim cyan bisque              Supplier#000000029              51394             1 
 green honeydew dim cyan bisque              Supplier#000000029              43047             2 
 green honeydew dim cyan bisque              Supplier#000000029              40677             2 
 green honeydew dim cyan bisque              Supplier#000000029              36356             5 
 green honeydew dim cyan bisque              Supplier#000000029              18884             4 
 green honeydew dim cyan bisque              Supplier#000000054              51559             2 
 green honeydew dim cyan bisque              Supplier#000000054              37472             2 
 green honeydew dim cyan bisque              Supplier#000000054              37091             1 
 green honeydew dim cyan bisque              Supplier#000000054              23778             5 
 green honeydew dim cyan bisque              Supplier#000000054              16611             4 
 green honeydew dim cyan bisque              Supplier#000000054              15520             5 
 green honeydew dim cyan bisque              Supplier#000000054              15430             1 
 green honeydew dim cyan bisque              Supplier#000000079              49413             2 
 green honeydew dim cyan bisque              Supplier#000000079              45409             2 
 green honeydew dim cyan bisque              Supplier#000000079              36389             1 
 green honeydew dim cyan bisque              Supplier#000000079              27365             1 
 green honeydew dim cyan bisque              Supplier#000000079              22784             4 
 green honeydew dim cyan bisque              Supplier#000000079                 32             4 
 green blue coral antique sandy              Supplier#000000036              58693             3 
 green blue coral antique sandy              Supplier#000000036              52451             1 
 green blue coral antique sandy              Supplier#000000036              52162             3 
 green blue coral antique sandy              Supplier#000000036              36512             3 
 green blue coral antique sandy              Supplier#000000036              33062             7 
 green blue coral antique sandy              Supplier#000000036              26695             1 
 green blue coral antique sandy              Supplier#000000036              20512             4 
 green blue coral antique sandy              Supplier#000000036               5349             3 
 green blue coral antique sandy              Supplier#000000036               2593             5 
 green blue coral antique sandy              Supplier#000000061              39810             1 
 green blue coral antique sandy              Supplier#000000061              35488             5 
 green blue coral antique sandy              Supplier#000000061              32227             3 
 green blue coral antique sandy              Supplier#000000061              28133             1 
 green blue coral antique sandy              Supplier#000000061              26400             6 
 green blue coral antique sandy              Supplier#000000061              19975             1 
 green blue coral antique sandy              Supplier#000000061              12706             2 
 green blue coral antique sandy              Supplier#000000061               9602             1 
 green blue coral antique sandy              Supplier#000000061               2279             3 
 green blue coral antique sandy              Supplier#000000086              51202             2 
 green blue coral antique sandy              Supplier#000000086              41159             1 
 green blue coral antique sandy              Supplier#000000086              19363             2 
 green blue coral antique sandy              Supplier#000000086               2144             3 
 green blue coral antique sandy              Supplier#000000011              55616             4 
 green blue coral antique sandy              Supplier#000000011              52323             1 
 green blue coral antique sandy              Supplier#000000011              40967             1 
 green blue coral antique sandy              Supplier#000000011              26215             4 
 green blue coral antique sandy              Supplier#000000011              22277             4 
 green blue coral antique sandy              Supplier#000000011              20705             4 
 green blue coral antique sandy              Supplier#000000011              14215             3 
 green blue coral antique sandy              Supplier#000000011               6278             1 
 rosy midnight floral misty green            Supplier#000000041              52001             2 
 rosy midnight floral misty green            Supplier#000000041              51206             1 
 rosy midnight floral misty green            Supplier#000000041              45157             2 
 rosy midnight floral misty green            Supplier#000000041              40544             6 
 rosy midnight floral misty green            Supplier#000000041              37511             3 
 rosy midnight floral misty green            Supplier#000000041              34081             5 
 rosy midnight floral misty green            Supplier#000000041              27936             5 
 rosy midnight floral misty green            Supplier#000000041              25446             1 
 rosy midnight floral misty green            Supplier#000000041              25316             4 
 rosy midnight floral misty green            Supplier#000000041              24993             3 
 rosy midnight floral misty green            Supplier#000000041              21665             2 
 rosy midnight floral misty green            Supplier#000000041              10565             5 
 rosy midnight floral misty green            Supplier#000000066              54213             2 
 rosy midnight floral misty green            Supplier#000000066              52898             6 
 rosy midnight floral misty green            Supplier#000000066              44613             3 
 rosy midnight floral misty green            Supplier#000000066              38470             6 
 rosy midnight floral misty green            Supplier#000000066              27462             1 
 rosy midnight floral misty green            Supplier#000000091              54690             2 
 rosy midnight floral misty green            Supplier#000000091              37414             3 
 rosy midnight floral misty green            Supplier#000000091              36998             2 
 rosy midnight floral misty green            Supplier#000000091              27044             2 
 rosy midnight floral misty green            Supplier#000000091              24006             1 
 rosy midnight floral misty green            Supplier#000000091              18753             6 
 rosy midnight floral misty green            Supplier#000000091              16999             3 
 rosy midnight floral misty green            Supplier#000000091              12070             1 
 rosy midnight floral misty green            Supplier#000000016              57447             1 
 rosy midnight floral misty green            Supplier#000000016              46022             2 
 rosy midnight floral misty green            Supplier#000000016              41955             4 
 rosy midnight floral misty green            Supplier#000000016              41222             3 
 rosy midnight floral misty green            Supplier#000000016              40999             1 
 rosy midnight floral misty green            Supplier#000000016              39233             5 
 rosy midnight floral misty green            Supplier#000000016              39045             5 
 rosy midnight floral misty green            Supplier#000000016              35683             1 
 rosy midnight floral misty green            Supplier#000000016              24610             4 
 rosy midnight floral misty green            Supplier#000000016               2790             7 
 peru green linen blush olive                Supplier#000000070              48774             1 
 peru green linen blush olive                Supplier#000000070              43841             2 
 peru green linen blush olive                Supplier#000000070              25281             1 
 peru green linen blush olive                Supplier#000000070              23397             2 
 peru green linen blush olive                Supplier#000000070              18754             7 
 peru green linen blush olive                Supplier#000000070              17474             1 
 peru green linen blush olive                Supplier#000000070              11332             1 
 peru green linen blush olive                Supplier#000000070               8706             7 
 peru green linen blush olive                Supplier#000000070               7815             1 
 peru green linen blush olive                Supplier#000000070               5794             3 
 peru green linen blush olive                Supplier#000000095              30274             1 
 peru green linen blush olive                Supplier#000000095              27237             2 
 peru green linen blush olive                Supplier#000000095              24807             1 
 peru green linen blush olive                Supplier#000000095              23589             4 
 peru green linen blush olive                Supplier#000000095              23558             7 
 peru green linen blush olive                Supplier#000000095              20896             1 
 peru green linen blush olive                Supplier#000000095              20486             3 
